mixture_domain,quality_domain,domain_q,alr_beta
arxiv,arxiv,0.7271469724468379,-0.0023689458901130353
github,github,0.3371140827568734,-0.0017871292856520538
stackexchange,stackexchange,0.510620774005151,-0.019045914523951876
wikipedia_en,wikipedia,0.4330316694062483,-0.004216502337718199
gutenberg_pg_19,book,0.5639343100722684,0.0015492661487308095
pile_cc,commoncrawl,0.6497837500213604,0.0
