domain,count,q_median,q_iqr,q_mean,q_std,conflict_rate,mean_c_tilde
arxiv,1419,0.7271469724468379,0.09184220244891994,0.7293815612287888,0.08561368449117167,0.11627906976744186,0.7722371144319459
commoncrawl,9640,0.6497837500213604,0.17934008784279543,0.6431568464029541,0.12930965582594042,0.05425311203319502,0.6453430916796423
book,171,0.5639343100722684,0.14180914140706102,0.56725512010346,0.09942403767042153,0.029239766081871343,0.6075872168083154
stackexchange,10000,0.510620774005151,0.16440416081434184,0.5118351138770547,0.11786776989865853,0.0924,0.7307545219308297
c4,10000,0.509629362243734,0.2672543015330237,0.5064952144962332,0.17582276468776048,0.0435,0.6066882654413809
wikipedia,10000,0.4330316694062483,0.28729041817906,0.44481989410468614,0.1815901988259165,0.0193,0.6005151052034214
github,10000,0.3371140827568734,0.1796688276980644,0.343779067689159,0.1280395634359619,0.0314,0.6277033850242163
