domain,dataset,protocol,count,q_median,q_iqr,q_mean,conflict_rate,c_tilde_mean,a1_benchmark_median
arxiv,A2 Extended,Protocol A (Full),17523,0.7277253427705818,0.08387027849258288,0.7279977008814422,0.11510586086857273,0.7704052953384493,0.7271469724468379
arxiv,A2 Extended,Protocol B (Dedup),16104,0.727817961051259,0.08270017729163337,0.7278757623672292,0.11500248385494287,0.770243885049473,0.7271469724468379
github,A3 Extended,Protocol A (Full),203752,0.3361826991616802,0.18210944382265015,0.3427235788259029,0.03132729985472535,0.6287013085287194,0.3371140827568734
github,A3 Extended,Protocol B (Dedup),193752,0.3361379666415591,0.1822086450575098,0.34266910254368355,0.03132354762789545,0.6287528137263175,0.3371140827568734
