experiment_id,model_version,data_version,horizon_months,origin_month_idx,target_month_idx,target_month,actual_cumulative_best,persistence,mean_gain,conditional_model,training_model_rows,record_updated,persistence_abs_error,mean_gain_abs_error,conditional_model_abs_error
EXP-407,M4-v2,D4V2-C1-C2-C4,1,3,4,2024-10,51.23132307602696,51.23132307602696,53.77707661347663,51.687071431739675,69,False,0.0,2.54575353744967,0.4557483557127142
EXP-407,M4-v2,D4V2-C1-C2-C4,1,4,5,2024-11,51.23132307602696,51.23132307602696,53.14063822911422,52.060949594954565,71,False,0.0,1.909315153087256,0.8296265189276042
EXP-407,M4-v2,D4V2-C1-C2-C4,1,5,6,2024-12,51.23132307602696,51.23132307602696,52.758775198496764,51.23132307602696,75,False,0.0,1.5274521224698034,0.0
EXP-407,M4-v2,D4V2-C1-C2-C4,1,6,7,2025-01,51.23132307602696,51.23132307602696,52.504199844751795,52.10217147474358,81,False,0.0,1.272876768724835,0.8708483987166176
EXP-407,M4-v2,D4V2-C1-C2-C4,1,7,8,2025-02,51.23132307602696,51.23132307602696,52.32236030636253,51.62143908013418,96,False,0.0,1.0910372303355729,0.39011600410722025
EXP-407,M4-v2,D4V2-C1-C2-C4,1,8,9,2025-03,51.23132307602696,51.23132307602696,52.185980652570585,52.148961848453986,108,False,0.0,0.9546575765436245,0.9176387724270256
EXP-407,M4-v2,D4V2-C1-C2-C4,3,3,6,2024-12,51.23132307602696,51.23132307602696,58.86858368837597,52.622357605206005,69,False,0.0,7.63726061234901,1.391034529179045
EXP-407,M4-v2,D4V2-C1-C2-C4,3,4,7,2025-01,51.23132307602696,51.23132307602696,56.959268535288714,53.784777930845976,71,False,0.0,5.727945459261754,2.553454854819016
EXP-407,M4-v2,D4V2-C1-C2-C4,3,5,8,2025-02,51.23132307602696,51.23132307602696,55.81367944343637,51.23132307602696,75,False,0.0,4.58235636740941,0.0
EXP-407,M4-v2,D4V2-C1-C2-C4,3,6,9,2025-03,51.23132307602696,51.23132307602696,55.049953382201466,53.91728980759811,81,False,0.0,3.818630306174505,2.685966731571149
