experiment_id,model_version,data_version,Model,Year,Source,Average,IFEval,BBH,MATH_Lvl5,GPQA,MUSR,MMLU_PRO,n_zero,n_missing,all_six_nonzero,six_mean,average_minus_six_mean
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,GPT-2 (1.5B),2019,Historical (papers/reports),5.0,24.6,0.0,0.0,0.0,0.0,0.0,5,0,False,4.1000000000000005,0.8999999999999995
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,GPT-3 (175B),2020,Historical (papers/reports),50.0,29.2,14.3,0.0,0.0,0.0,2.5,3,0,False,7.666666666666667,42.333333333333336
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,GPT-Neo (2.7B),2021,Historical (papers/reports),2.0,5.0,0.0,0.0,0.0,0.0,0.0,5,0,False,0.8333333333333334,1.1666666666666665
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,GPT-J (6B),2021,Historical (papers/reports),5.0,6.9,0.0,0.0,0.0,0.0,0.0,5,0,False,1.1500000000000001,3.8499999999999996
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Chinchilla (70B),2022,Historical (papers/reports),35.0,35.1,65.4,5.7,0.0,8.5,54.7,1,0,False,28.233333333333334,6.766666666666666
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,OPT (1.3B),2022,Historical (papers/reports),1.0,5.0,0.0,0.0,0.0,0.0,0.0,5,0,False,0.8333333333333334,0.16666666666666663
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,OPT (6.7B),2022,Historical (papers/reports),4.0,6.7,0.0,0.0,0.0,0.0,0.0,5,0,False,1.1166666666666667,2.8833333333333333
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,OPT (30B),2022,Historical (papers/reports),12.0,8.5,0.0,0.0,0.0,0.0,0.0,5,0,False,1.4166666666666667,10.583333333333334
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,OPT (175B),2022,Historical (papers/reports),30.0,14.0,0.0,0.0,0.0,0.0,0.0,5,0,False,2.3333333333333335,27.666666666666668
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,BLOOM (7B),2022,Historical (papers/reports),5.0,3.4,0.0,0.0,0.0,0.0,0.0,5,0,False,0.5666666666666667,4.433333333333334
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,BLOOM (176B),2022,Historical (papers/reports),25.0,8.5,0.0,0.0,0.0,0.0,0.0,5,0,False,1.4166666666666667,23.583333333333332
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,LLaMA (7B),2023,Historical (papers/reports),10.0,8.0,25.2,3.3,0.0,4.1,0.0,2,0,False,6.766666666666667,3.2333333333333334
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,LLaMA (13B),2023,Historical (papers/reports),15.0,9.5,28.1,4.0,0.0,4.8,0.0,2,0,False,7.733333333333333,7.266666666666667
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,LLaMA (33B),2023,Historical (papers/reports),25.0,12.1,29.2,6.4,0.0,4.1,0.0,2,0,False,8.633333333333333,16.366666666666667
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,LLaMA (65B),2023,Historical (papers/reports),35.0,14.4,30.6,6.8,0.0,3.4,57.0,1,0,False,18.7,16.3
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Pythia-1B,2023,Historical (papers/reports),1.0,2.3,2.2,0.9,0.9,2.7,1.5,0,0,True,1.75,-0.75
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Pythia-6.9B,2023,Historical (papers/reports),5.0,2.8,2.5,3.3,0.7,2.8,6.0,0,0,True,3.016666666666666,1.9833333333333338
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Pythia-12B,2023,Historical (papers/reports),8.0,3.3,2.9,2.8,0.9,3.0,6.1,0,0,True,3.1666666666666665,4.833333333333334
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Falcon (7B),2023,Historical (papers/reports),5.0,5.2,0.0,0.0,0.0,0.0,0.0,5,0,False,0.8666666666666667,4.133333333333333
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Falcon (40B),2023,Historical (papers/reports),12.0,9.4,0.0,0.0,0.0,0.0,0.0,5,0,False,1.5666666666666667,10.433333333333334
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Mistral (7B),2023,Historical (papers/reports),12.0,14.6,0.0,0.0,0.0,0.0,0.0,5,0,False,2.433333333333333,9.566666666666666
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Mixtral (8x7B),2023,Historical (papers/reports),20.0,19.7,0.0,0.0,0.0,0.0,0.0,5,0,False,3.283333333333333,16.71666666666667
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Yi (6B),2023,Historical (papers/reports),5.0,13.6,0.0,0.0,0.0,0.0,0.0,5,0,False,2.2666666666666666,2.7333333333333334
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Yi (34B),2023,Historical (papers/reports),15.0,22.4,0.0,0.0,0.0,0.0,0.0,5,0,False,3.733333333333333,11.266666666666667
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Gemma (7B),2024,Historical (papers/reports),8.0,15.4,0.0,0.0,0.0,0.0,0.0,5,0,False,2.566666666666667,5.433333333333334
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,Gemma (2B),2024,Historical (papers/reports),3.0,10.4,0.0,0.0,0.0,0.0,0.0,5,0,False,1.7333333333333334,1.2666666666666666
