experiment_id,model_version,data_version,horizon_months,n_origins,n_record_updates,persistence_mae,mean_gain_mae,conditional_model_mae
EXP-407,M4-v2,D4V2-C1-C2-C4,1,6,0,0.0,1.5501820647684603,0.5773296749818636
EXP-407,M4-v2,D4V2-C1-C2-C4,3,4,0,0.0,5.44154818629867,1.6576140288923025
