experiment_id,model_version,data_version,horizon_months,scenario,annual_log_compute_growth,origin_compute_p90_flop,future_compute_p90_flop,current_record_score,selected_method,main_point_forecast,conditional_score,persistence_score,mean_gain_score,bootstrap_requested,bootstrap_successful,parameter_sensitivity_p10,parameter_sensitivity_p90,coverage_calibrated,conditional_status
EXP-407,M4-v2,D4V2-C1-C2-C4,12,momentum,1.3862943611198906,3.506e+24,1.4024e+25,51.23132307602696,persistence,51.23132307602696,61.00464899269167,51.23132307602696,61.41433722582564,200,200,52.72104432647076,71.58609352750061,False,unvalidated_sensitivity
EXP-407,M4-v2,D4V2-C1-C2-C4,12,halved,0.6931471805599453,3.506e+24,7.012e+24,51.23132307602696,persistence,51.23132307602696,57.50290315503946,51.23132307602696,61.41433722582564,200,200,51.23132307602696,68.68031935831407,False,unvalidated_sensitivity
EXP-407,M4-v2,D4V2-C1-C2-C4,12,stagnation,0.0,3.506e+24,3.506e+24,51.23132307602696,persistence,51.23132307602696,54.255486524414934,51.23132307602696,61.41433722582564,200,200,51.23132307602696,63.20036014794466,False,unvalidated_sensitivity
EXP-407,M4-v2,D4V2-C1-C2-C4,24,momentum,1.3862943611198906,3.506e+24,5.609599999999999e+25,51.23132307602696,persistence,51.23132307602696,72.80739567301991,51.23132307602696,71.59735137562433,200,200,55.00331350999516,91.53004812936153,False,unvalidated_sensitivity
EXP-407,M4-v2,D4V2-C1-C2-C4,24,halved,0.6931471805599453,3.506e+24,1.4024e+25,51.23132307602696,persistence,51.23132307602696,64.79768939870765,51.23132307602696,71.59735137562433,200,200,51.23132307602696,83.39890826839999,False,unvalidated_sensitivity
EXP-407,M4-v2,D4V2-C1-C2-C4,24,stagnation,0.0,3.506e+24,3.506e+24,51.23132307602696,persistence,51.23132307602696,57.55698025289827,51.23132307602696,71.59735137562433,200,200,51.23132307602696,79.24495211903529,False,unvalidated_sensitivity
