month_idx,month,z_logit
0,2024-06,-0.25305647377170404
1,2024-07,-0.2067655038907535
2,2024-08,-0.13661621752674794
3,2024-09,-0.25133701201512026
4,2024-10,-0.11315840333782573
5,2024-11,-0.21186351763393874
6,2024-12,-0.14307826598577
7,2025-01,-0.030009363025024733
8,2025-02,-0.05768241691159388
9,2025-03,-0.211508906454959
